19600101	20211201		744	21
ID	NODATA_VALUE	南雄	连州	韶关	佛冈	高要	广州	河源	惠阳	紫金	汕头	惠来	南澳	信宜	罗定	台山	中山	深圳	阳江	电白	上川岛	徐闻
56	-9999	201.5	125.2	247.8	358.3	288.2	309.9	230.2	313.9	251.8	351.3	468.3	272.8	359.6	268.1	447.1	345.8	454	370.2	504.3	529.4	291.3
57	-9999	64	37.9	94.2	220.7	279.6	437.9	142.7	225	260.8	108.1	149.8	56.9	112.4	204.9	605.9	462.8	528.4	446.6	323	436.8	227.5
58	-9999	66.2	88.7	82.6	38.7	83.4	98.7	126	179.7	213.5	193.1	284.1	44.2	33.1	95.6	189.3	183.9	417.5	94.9	221	253	433.8
59	-9999	0.1	0	0	0.2	3.4	0.6	0	0.1	1	0.5	0	0.1	1.4	0.5	1.3	1.3	0.6	1.7	2.1	2.6	0.5
60	-9999	1.2	2.1	1.5	2.5	2.2	0.4	0.9	1.7	1.5	6.5	9.4	2.2	1.4	3.1	3.4	4.3	1.4	7.4	10.1	2.1	16.3
61	-9999	21	25	20.3	23.5	10.3	14.8	16.9	17.5	15.9	5.9	6	5.2	4.7	7.2	5.2	10.1	10.8	6.2	5.1	7.4	5
62	-9999	59.3	80.6	67.4	75.5	75	67.1	54.9	48.9	59.7	22.1	10.4	12.5	124.6	77.6	56.2	59.6	37.1	76.8	45.6	10.3	45.1
63	-9999	90.1	123.5	119.5	124.3	48.8	55.7	63.1	48.9	46.8	17.7	21	16.3	50	72	41.8	50.9	16.8	27.6	35.2	56.8	13.1
64	-9999	259.5	286.9	229.8	571.3	321.8	301.1	389.7	224.1	188.1	83	73.3	46.6	413.4	317.4	458.2	370.6	295.4	593.2	253	366.2	233.8
65	-9999	240.5	238.7	231.4	604.6	266.5	292.7	471.4	224.4	331.9	202.4	228.5	178.1	195.9	199	190.6	230.8	154.5	257.8	107.7	260.2	23.5
66	-9999	227.6	162.3	149.4	234.8	402.2	380.7	212.3	406.5	222.7	452.7	458.8	319.1	538.5	365.2	542.7	364.2	220.9	474.3	379.5	554.5	280.8
67	-9999	91.5	71.2	65.3	187.4	248.5	346.4	162.8	230.3	211.2	142.6	155.5	214	112.6	103.5	214.3	316.4	264.2	235.3	184.1	248.5	440.3
68	-9999	51.7	91.1	77.5	231.5	81.3	128.4	98.9	204.4	105.4	34.6	43.6	6.2	235.7	90.8	178.6	46.6	95.2	261.8	66	126	73.1
69	-9999	30.8	47.6	45.7	81.6	359.1	425.8	191.6	209	139.2	164.5	428.9	112.3	265.7	276.8	432.7	564.9	393.1	413.5	269.5	904.2	220.2
70	-9999	152	182.2	82.6	121.3	138.5	175	114.7	79.5	82.3	77.8	63.3	65	104	59.7	95.9	150.4	98.1	188.9	46.2	266.5	29.2
71	-9999	49.8	78.9	75.5	70.6	93.2	135.8	116.9	100.1	117	51.1	41	85	32.5	92.9	241.6	240	138.7	310	197	148.3	96.7
72	-9999	23.2	32.5	25	31.1	20.9	9	12.2	9.9	13.6	15.8	8.5	32.7	14.5	20.9	10.6	14.6	9.2	20.9	12.2	3.1	8.1
73	-9999	23.9	36.5	24.5	11.5	5.6	7.7	3.8	0.9	1.9	1.7	2.9	0.6	4.2	5.6	0.9	1.5	1	1.2	3.2	5.4	2
74	-9999	44.2	53.6	40.5	45.2	43.3	76.6	114.3	61.8	93.9	54.5	70.9	53.4	41.6	31.5	85.9	63.8	68.8	52.7	38.3	26	14.1
75	-9999	116.2	98.1	166.4	128.2	142	135.2	143.7	72.2	81.1	75.4	72.5	73.7	75.9	62.3	72.2	41.7	81.5	152.4	86.4	145.6	40.7
76	-9999	243.2	272.8	226.8	351.9	247.4	224.8	386.1	339.2	397.6	175	192.2	127.1	148.5	121.7	263	462.4	226.1	356.8	141.1	122.7	152.5
77	-9999	81.1	48	52.8	135	75.4	209.7	106.3	62.7	150.2	112.3	76.4	77.3	68.9	66.1	110	218.3	124.5	98.2	71.6	161.3	67.6
78	-9999	420.6	348	456.1	929.2	371.7	392.6	1064	641.9	648.6	683	991.9	444.9	935.1	287.6	437.4	439.1	740.2	590.7	160.3	819.2	118.6
79	-9999	93	107.2	134.3	327.6	281.6	221.9	261.8	505.4	252.5	381.3	429.3	309.8	378.2	138.2	516.7	484.7	539	486.4	385.7	544.2	396.8
80	-9999	14.5	16	145.8	159.5	108.4	36.7	86	56.5	139.6	100.9	94.4	83.5	139.4	117.7	162.1	83.6	348.3	163	178.7	145.6	135.4
81	-9999	10.4	0	14	21.1	12.6	14.7	84	47.6	64.5	65.5	99.4	9.5	44.5	28.8	72.2	12.5	28.2	27.9	23.3	27.9	38.4
82	-9999	76.2	60.1	73.4	64.9	53.8	17.8	33.2	3	20.8	2	5.5	1.2	75.7	94.8	25.3	28.3	10.9	86.7	106.4	91.4	72.8
83	-9999	44.4	39.6	37.6	5.6	6.1	2.6	2.5	2	2.6	3	4.8	2	4.7	28.8	9	5.8	3.3	18	17.6	19.3	9.8
84	-9999	66.1	23	66.7	71.7	25.4	24.4	40.9	10	12.1	8	6	14.7	43.3	23.4	12.1	15.4	13.1	25.4	9	23.4	10.6
85	-9999	43.5	45.5	53.1	41.3	43.7	34.6	37.3	27.3	21.2	14.9	11.1	6.7	49.6	63.7	31.4	26.7	11	48.2	56.5	10.8	23.6
86	-9999	87.4	101.4	94.9	110.7	93.8	80	95.1	68.5	115.2	44.1	25.3	33.8	94.4	93	91.2	67	46.9	88.5	68.4	54.5	9.9
87	-9999	146.1	101.9	146.3	77	16	20.1	81.8	24.9	54.9	35.5	24.9	13.5	12	16.2	10.5	11.4	7.4	10.7	12.1	14.1	8.3
88	-9999	222.4	230.8	207.2	347.9	144	218.9	336.6	209.5	211.7	123.9	176.6	93.7	146.1	128.4	180	165.6	144.6	205.5	333.5	230.3	131.1
89	-9999	187.4	179.1	160.3	396.2	240.4	139.3	292.7	159.8	216.4	109.2	274.8	45.7	180.6	75.1	61.7	143.1	125.7	263.8	60.3	112.8	17.7
90	-9999	46.7	100.4	17	191.9	179.7	143.2	78.4	123.5	81.2	93.3	145.2	75.3	107.3	117.5	162.2	121.7	248	440.3	210.6	194.8	141.4
91	-9999	255.7	118.8	185.6	199.3	114.4	110.9	90	75.7	147.2	90.9	63.7	50.3	223.5	107.5	148	186.1	228.6	140.5	64.8	114.3	114
92	-9999	141.9	220	202.6	567	489.9	618.4	409.6	364.9	241.4	356.3	383.1	412.5	499.4	386.9	525.2	461.4	582.7	595.7	582.2	448.6	561
93	-9999	92.7	147.7	58	81.7	71.4	82.2	59.4	131.8	99	56.5	169.6	49.3	75.2	36.3	128.6	60.1	178.8	77.6	55.1	201.1	378.5
